what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606831816486
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1606831822691
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1606831910742
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1606832118545
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606832120702
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606832126051
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1606832131637
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606832151198
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606832159262
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1606832172417
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1606832175621
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606832178003
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606832182965
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1606832185809
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1606832194988
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1606832207378
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.toggleOverwrite",1606832219993
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.toggleOverwrite",1606832224017
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.window.activateEditor",1606832225481
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1606832236119
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1606832237015
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606832239128
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606832244268
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1606832256406
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606832274199
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606832280544
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606832290750
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606832293672
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606832294891
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606832297846
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606832301065
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606832307355
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606832323272
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606832326765
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1606832333842
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1606832335814
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606832337737
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606832342963
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1606832345376
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1606832345595
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1606832346486
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1606832346704
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606832357219
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606832359113
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.DebugLast",1606832362149
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606832362353
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606832364978
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606832369453
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606832371794
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606832379656
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606832383336
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1606832387463
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1606832389123
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606832391190
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606832396286
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1606832399307
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1606832400854
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1606832403386
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1606832403558
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1606832404887
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1606832405074
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1606832406675
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1606832406895
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1606832407764
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1606832407936
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1606832426665
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1606832428833
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606832430948
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606832435866
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1606832445667
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.saveAll",1606832464478
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1606832468419
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606832470154
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606832480307
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606832480353
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606832486402
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606832494187
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606832499188
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1606832500532
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1606832504505
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606832505599
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606832508771
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1606832511053
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1606832593301
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1606832593301
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1606832594421
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606832596912
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606832606758
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1606832616735
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1606832679175
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1606832711659
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1606832714030
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606832716336
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606832726135
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1606832745729
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1606832761146
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1606832766022
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606832772305
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606832781839
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1606832791375
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1606832852769
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1606832858492
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1606832860298
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606832864525
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606832873964
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606832881810
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606832883717
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1606832885467
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1606832910770
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606832928458
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606832930092
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606832941585
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606832943897
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1606832945605
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1606833003406
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1606833005518
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1606833011578
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1606833017307
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1606833035095
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606833035110
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606833036439
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606833046758
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606833054885
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1606833056604
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1606833122265
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606833122304
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606833123652
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606833133809
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606833143479
error,log,,,"The system console model is invalid. Cannot launch.",1606833150247
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606833150417
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606833156705
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606833165300
